[*] 瑁佸垽鍚姩: pypy57 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260944
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v57)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy57 (v5.7 鍩虹嚎, 鏃犻噸澶嶆劅鐭?
[*] 榛戞柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[  1] 绾?e3e4 (6, 4)->(5, 4) 缈诲紑=棣?鐢ㄦ椂 0.69s (score=84 depth=3)
[  2] 榛?e3e4 (3, 4)->(4, 4) 缈诲紑=鍗?鐢ㄦ椂 0.82s (score=84 depth=3)
[  3] 绾?b2b9 (7, 1)->(0, 1) 缈诲紑=鐩?鍚?b杌?鐢ㄦ椂 1.05s (score=159 depth=4)
[  4] 榛?b2b9 (2, 7)->(9, 7) 缈诲紑=棣?鍚?r杌?鐢ㄦ椂 1.28s (score=157 depth=4)
[  5] 绾?a3a4 (6, 0)->(5, 0) 缈诲紑=鐐?鐢ㄦ椂 1.03s (score=78 depth=4)
[  6] 榛?i0h0 (0, 0)->(0, 1) 缈诲紑=棣?鍚?r鐩?鐢ㄦ椂 1.55s (score=49.5 depth=5)
[  7] 绾?c3c4 (6, 2)->(5, 2) 缈诲紑=棣?鐢ㄦ椂 1.07s (score=74 depth=4)
[  8] 榛?a3a4 (3, 8)->(4, 8) 缈诲紑=澹?鐢ㄦ椂 1.56s (score=80 depth=4)
[  9] 绾?c4e5 (5, 2)->(4, 4) 鍚?b鍗?鐢ㄦ椂 0.95s (score=42 depth=4)
[ 10] 榛?i3i4 (3, 0)->(4, 0) 缈诲紑=鍗?鐢ㄦ椂 1.55s (score=79 depth=4)
[ 11] 绾?a4c4 (5, 0)->(5, 2)  鐢ㄦ椂 1.15s (score=4 depth=4)
[ 12] 榛?g0e2 (0, 2)->(2, 4) 缈诲紑=鐐?鐢ㄦ椂 1.32s (score=42 depth=5)
[ 13] 绾?i0h0 (9, 8)->(9, 7) 缈诲紑=杌?鍚?b棣?鐢ㄦ椂 0.75s (score=130.0 depth=4)
[ 14] 榛?c3c4 (3, 6)->(4, 6) 缈诲紑=鍗?鐢ㄦ椂 1.00s (score=76 depth=4)
[ 15] 绾?h2h8 (7, 7)->(1, 7) 缈诲紑=鍏?鐢ㄦ椂 0.83s (score=71 depth=4)
[ 16] 榛?g3g4 (3, 2)->(4, 2) 缈诲紑=澹?鐢ㄦ椂 1.03s (score=80 depth=5)
[ 17] 绾?h8h9 (1, 7)->(0, 7) 鍚?b鐐?鐢ㄦ椂 1.11s (score=77 depth=5)
[ 18] 榛?a0b0 (0, 8)->(0, 7) 缈诲紑=杌?鍚?r鍏?鐢ㄦ椂 1.53s (score=57.0 depth=5)
[ 19] 绾?h0h9 (9, 7)->(0, 7) 鍚?b杌?鐢ㄦ椂 1.55s (score=338 depth=5)
[ 20] 榛?c0a2 (0, 6)->(2, 8) 缈诲紑=鍗?鐢ㄦ椂 0.78s (score=43 depth=4)
[ 21] 绾?f0e1 (9, 5)->(8, 4) 缈诲紑=鐩?鐢ㄦ椂 0.80s (score=25 depth=4)
[ 22] 榛?e2e5 (2, 4)->(5, 4) 鍚?r棣?鐢ㄦ椂 0.84s (score=112 depth=5)
[ 23] 绾?c0e2 (9, 2)->(7, 4) 缈诲紑=鍏?鐢ㄦ椂 1.14s (score=30 depth=4)
[ 24] 榛?h2h8 (2, 1)->(8, 1) 缈诲紑=鍗?鐢ㄦ椂 1.46s (score=79 depth=5)
[ 25] 绾?e5f7 (4, 4)->(2, 5)  鐢ㄦ椂 1.58s (score=1 depth=5)
[ 26] 榛?e0e1 (0, 4)->(1, 4)  鐢ㄦ椂 0.98s (score=-20 depth=6)
[ 27] 绾?h9f9 (0, 7)->(0, 5) 鍚?b璞?鐢ㄦ椂 0.59s (score=130 depth=4)
[ 28] 榛?h8h9 (8, 1)->(9, 1) 鍚?r浠?鐢ㄦ椂 1.56s (score=61 depth=4)
[ 29] 绾?f7g5 (2, 5)->(4, 6) 鍚?b鍗?鐢ㄦ椂 1.56s (score=34 depth=5)
[ 30] 榛?e5b5 (5, 4)->(5, 7)  鐢ㄦ椂 1.52s (score=-4 depth=5)
[ 31] 绾?a0b0 (9, 0)->(9, 1) 缈诲紑=鍏?鍚?b鍗?鐢ㄦ椂 1.52s (score=111.25 depth=5)
[ 32] 榛?a4b3 (4, 8)->(3, 7)  鐢ㄦ椂 0.80s (score=-4 depth=5)
[ 33] 绾?g5f7 (4, 6)->(2, 5)  鐢ㄦ椂 1.59s (score=16 depth=5)
[ 34] 榛?b5e5 (5, 7)->(5, 4)  鐢ㄦ椂 0.82s (score=4 depth=5)
[ 35] 绾?f9d9 (0, 5)->(0, 3) 鍚?b璞?鐢ㄦ椂 0.81s (score=77 depth=5)
[ 36] 榛?e1e2 (1, 4)->(2, 4)  鐢ㄦ椂 1.02s (score=-10 depth=5)
[ 37] 绾?f7h6 (2, 5)->(3, 7) 鍚?b澹?鐢ㄦ椂 0.81s (score=72 depth=5)
[ 38] 榛?h0g2 (0, 1)->(2, 2)  鐢ㄦ椂 0.91s (score=29 depth=5)
[ 39] 绾?h6g8 (3, 7)->(1, 6)  鐢ㄦ椂 1.32s (score=27 depth=6)
[ 40] 榛?e2e1 (2, 4)->(1, 4)  鐢ㄦ椂 0.90s (score=10 depth=7)
[ 41] 绾?c4c7 (5, 2)->(2, 2) 鍚?b棣?鐢ㄦ椂 1.45s (score=111 depth=6)
[ 42] 榛?e5e3 (5, 4)->(3, 4)  鐢ㄦ椂 1.46s (score=10 depth=6)
[ 43] 绾?i3i4 (6, 8)->(5, 8) 缈诲紑=鍏?鐢ㄦ椂 0.73s (score=65 depth=4)
[ 44] 榛?a2a3 (2, 8)->(3, 8)  鐢ㄦ椂 1.08s (score=8 depth=5)
[ 45] 绾?d9d7 (0, 3)->(2, 3)  鐢ㄦ椂 1.23s (score=-7 depth=4)
[ 46] 榛?e1d1 (1, 4)->(1, 5)  鐢ㄦ椂 0.91s (score=-10 depth=5)
[ 47] 绾?d7e7 (2, 3)->(2, 4)  鐢ㄦ椂 1.55s (score=-23 depth=5)
[ 48] 榛?e3i3 (3, 4)->(3, 0)  鐢ㄦ椂 1.56s (score=-14 depth=5)
[ 49] 绾?c7c8 (2, 2)->(1, 2)  鐢ㄦ椂 1.51s (score=0 depth=6)
[ 50] 榛?g4f3 (4, 2)->(3, 3)  鐢ㄦ椂 1.54s (score=-6 depth=5)
[ 51] 绾?e7e4 (2, 4)->(5, 4)  鐢ㄦ椂 1.02s (score=-11 depth=5)
[ 52] 榛?i3i2 (3, 0)->(2, 0)  鐢ㄦ椂 1.05s (score=1 depth=6)
[ 53] 绾?e1c3 (8, 4)->(6, 2)  鐢ㄦ椂 0.91s (score=35 depth=5)
[ 54] 榛?i4i5 (4, 0)->(5, 0)  鐢ㄦ椂 1.43s (score=10 depth=6)
[ 55] 绾?e4f4 (5, 4)->(5, 5)  鐢ㄦ椂 1.54s (score=32 depth=5)
[ 56] 榛?d1e1 (1, 5)->(1, 4)  鐢ㄦ椂 0.73s (score=10 depth=6)
[ 57] 绾?g3g4 (6, 6)->(5, 6) 缈诲紑=鐐?鐢ㄦ椂 0.78s (score=67 depth=5)
[ 58] 榛?i2e2 (2, 0)->(2, 4)  鐢ㄦ椂 1.58s (score=13 depth=5)
[ 59] 绾?g8e7 (1, 6)->(2, 4) 鍚?b鐐?鐢ㄦ椂 0.96s (score=104 depth=7)
[ 60] 榛?e1e2 (1, 4)->(2, 4) 鍚?r棣?鐢ㄦ椂 0.83s (score=119 depth=6)
[ 61] 绾?g4a4 (5, 6)->(5, 0) 鍚?b鍗?鐢ㄦ椂 1.12s (score=30 depth=5)
[ 62] 榛?f3g4 (3, 3)->(4, 2)  鐢ㄦ椂 1.06s (score=6 depth=6)
[ 63] 绾?a4e4 (5, 0)->(5, 4)  鐢ㄦ椂 1.16s (score=5 depth=5)
[ 64] 榛?g4f5 (4, 2)->(5, 3)  鐢ㄦ椂 1.56s (score=7 depth=7)
[ 65] 绾?c3a5 (6, 2)->(4, 0)  鐢ㄦ椂 1.55s (score=0 depth=5)
[ 66] 榛?a3a4 (3, 8)->(4, 8)  鐢ㄦ椂 0.90s (score=11 depth=6)
[ 67] 绾?i4i5 (5, 8)->(4, 8) 鍚?b鍗?鐢ㄦ椂 0.75s (score=34 depth=5)
[ 68] 榛?e2e1 (2, 4)->(1, 4)  鐢ㄦ椂 1.17s (score=10 depth=6)
[ 69] 绾?a5c7 (4, 0)->(2, 2)  鐢ㄦ椂 0.84s (score=10 depth=5)
[ 70] 榛?e1f1 (1, 4)->(1, 3)  鐢ㄦ椂 1.54s (score=-10 depth=6)
[ 71] 绾?e4e6 (5, 4)->(3, 4)  鐢ㄦ椂 0.87s (score=0 depth=5)
[ 72] 榛?f5e4 (5, 3)->(4, 4)  鐢ㄦ椂 1.25s (score=-7 depth=7)
[ 73] 绾?c7e5 (2, 2)->(4, 4) 鍚?b澹?鐢ㄦ椂 1.54s (score=70 depth=5)
[ 74] 榛?f1f0 (1, 3)->(0, 3)  鐢ㄦ椂 1.05s (score=20 depth=6)
[ 75] 绾?d0e1 (9, 3)->(8, 4) 缈诲紑=浠?鐢ㄦ椂 1.25s (score=39 depth=5)
[ 76] 榛?f0e0 (0, 3)->(0, 4)  鐢ㄦ椂 1.08s (score=10 depth=6)
[ 77] 绾?g0i2 (9, 6)->(7, 8) 缈诲紑=鍏?鐢ㄦ椂 1.21s (score=40 depth=5)
[ 78] 榛?e0f0 (0, 4)->(0, 3)  鐢ㄦ椂 1.57s (score=-10 depth=6)
[ 79] 绾?f4f9 (5, 5)->(0, 5)  鐢ㄦ椂 1.19s (score=9 depth=5)
[ 80] 榛?f0f1 (0, 3)->(1, 3)  鐢ㄦ椂 1.52s (score=-20 depth=6)
[ 81] 绾?e2e3 (7, 4)->(6, 4)  鐢ㄦ椂 1.06s (score=10 depth=5)
[ 82] 榛?f1e1 (1, 3)->(1, 4)  鐢ㄦ椂 1.56s (score=10 depth=6)
[ 83] 绾?i5h5 (4, 8)->(4, 7)  鐢ㄦ椂 1.12s (score=21 depth=5)
[ 84] 榛?e1e2 (1, 4)->(2, 4)  鐢ㄦ椂 0.75s (score=-10 depth=6)
[ 85] 绾?c8h8 (1, 2)->(1, 7)  鐢ㄦ椂 1.37s (score=12 depth=5)
[ 86] 榛?e2e1 (2, 4)->(1, 4)  鐢ㄦ椂 1.58s (score=10 depth=6)
[ 87] 绾?e3e4 (6, 4)->(5, 4)  鐢ㄦ椂 0.99s (score=14 depth=5)
