[*] 瑁佸垽鍚姩: pypy3 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260915
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v3)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy3 (v5.6 鍩虹嚎+鐪熼潤鎬佹悳绱?
[*] 榛戞柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[  1] 绾?e3e4 (6, 4)->(5, 4) 缈诲紑=鍏?鐢ㄦ椂 1.41s (score=84 depth=5)
[  2] 榛?b2b9 (2, 7)->(9, 7) 缈诲紑=鍗?鍚?r浠?鐢ㄦ椂 1.04s (score=157 depth=5)
[  3] 绾?i0h0 (9, 8)->(9, 7) 缈诲紑=杌?鍚?b鍗?鐢ㄦ椂 0.71s (score=90.0 depth=5)
[  4] 榛?h2h9 (2, 1)->(9, 1) 缈诲紑=棣?鍚?r鐐?鐢ㄦ椂 1.58s (score=146 depth=4)
[  5] 绾?a3a4 (6, 0)->(5, 0) 缈诲紑=棣?鐢ㄦ椂 0.95s (score=76 depth=5)
[  6] 榛?i3i4 (3, 0)->(4, 0) 缈诲紑=杌?鐢ㄦ椂 0.78s (score=78 depth=5)
[  7] 绾?c3c4 (6, 2)->(5, 2) 缈诲紑=杌?鐢ㄦ椂 1.47s (score=71 depth=5)
[  8] 榛?a3a4 (3, 8)->(4, 8) 缈诲紑=鍗?鐢ㄦ椂 0.71s (score=73 depth=5)
[  9] 绾?b2b8 (7, 1)->(1, 1) 缈诲紑=鐩?鐢ㄦ椂 1.00s (score=66 depth=4)
[ 10] 榛?c3c4 (3, 6)->(4, 6) 缈诲紑=棣?鐢ㄦ椂 0.70s (score=71 depth=5)
[ 11] 绾?g3g4 (6, 6)->(5, 6) 缈诲紑=鐐?鐢ㄦ椂 0.67s (score=65 depth=4)
[ 12] 榛?c4e5 (4, 6)->(5, 4) 鍚?r鍏?鐢ㄦ椂 1.01s (score=72 depth=5)
[ 13] 绾?c4e4 (5, 2)->(5, 4) 鍚?b棣?鐢ㄦ椂 1.52s (score=137 depth=5)
