[*] 瑁佸垽鍚姩: pypy 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy57 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260931
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v57)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[*] 榛戞柟寮曟搸: pypy57 (v5.7 鍩虹嚎, 鏃犻噸澶嶆劅鐭?
[  1] 绾?e3e4 (6, 4)->(5, 4) 缈诲紑=鐩?鐢ㄦ椂 1.53s (score=84 depth=4)
[  2] 榛?b2b9 (2, 7)->(9, 7) 缈诲紑=杌?鍚?r杌?鐢ㄦ椂 1.35s (score=157 depth=5)
[  3] 绾?i0h0 (9, 8)->(9, 7) 缈诲紑=鐐?鍚?b杌?鐢ㄦ椂 1.54s (score=306.0 depth=5)
[  4] 榛?c3c4 (3, 6)->(4, 6) 缈诲紑=鍗?鐢ㄦ椂 1.14s (score=75 depth=5)
[  5] 绾?e4c6 (5, 4)->(3, 2) 鍚?b璞?鐢ㄦ椂 1.26s (score=87 depth=5)
[  6] 榛?a3a4 (3, 8)->(4, 8) 缈诲紑=鍗?鐢ㄦ椂 1.53s (score=80 depth=4)
[  7] 绾?a3a4 (6, 0)->(5, 0) 缈诲紑=鍏?鐢ㄦ椂 1.54s (score=77 depth=4)
[  8] 榛?e3e4 (3, 4)->(4, 4) 缈诲紑=鐐?鐢ㄦ椂 1.51s (score=79 depth=4)
[  9] 绾?h2h8 (7, 7)->(1, 7) 缈诲紑=鍏?鐢ㄦ椂 0.93s (score=76 depth=5)
[ 10] 榛?h2h9 (2, 1)->(9, 1) 缈诲紑=鍗?鍚?r鐐?鐢ㄦ椂 1.27s (score=161 depth=5)
[ 11] 绾?a0b0 (9, 0)->(9, 1) 缈诲紑=浠?鍚?b鍗?鐢ㄦ椂 0.68s (score=100.45454545454545 depth=5)
[ 12] 榛?c0e2 (0, 6)->(2, 4) 缈诲紑=鍗?鐢ㄦ椂 0.94s (score=46 depth=5)
[ 13] 绾?h8h9 (1, 7)->(0, 7) 鍚?b璞?鐢ㄦ椂 0.91s (score=78 depth=6)
[ 14] 榛?d0e1 (0, 5)->(1, 4) 缈诲紑=鍗?鐢ㄦ椂 1.51s (score=46 depth=5)
[ 15] 绾?h9i9 (0, 7)->(0, 8) 鍚?b鐐?鐢ㄦ椂 1.51s (score=111.0 depth=6)
[ 16] 榛?h0g2 (0, 1)->(2, 2) 缈诲紑=澹?鐢ㄦ椂 0.71s (score=51 depth=6)
[ 17] 绾?h0h9 (9, 7)->(0, 7)  鐢ㄦ椂 0.80s (score=69 depth=5)
[ 18] 榛?e2e3 (2, 4)->(3, 4)  鐢ㄦ椂 1.55s (score=10 depth=5)
[ 19] 绾?c3c4 (6, 2)->(5, 2) 缈诲紑=杌?鐢ㄦ椂 0.97s (score=73 depth=6)
[ 20] 榛?g2h3 (2, 2)->(3, 1)  鐢ㄦ椂 0.77s (score=4 depth=5)
[ 21] 绾?b2b5 (7, 1)->(4, 1) 缈诲紑=浠?鐢ㄦ椂 0.99s (score=58 depth=5)
[ 22] 榛?g0e2 (0, 2)->(2, 4) 缈诲紑=棣?鐢ㄦ椂 1.16s (score=58 depth=6)
[ 23] 绾?c0a2 (9, 2)->(7, 0) 缈诲紑=鐩?鐢ㄦ椂 1.55s (score=38 depth=5)
[ 24] 榛?e2c1 (2, 4)->(1, 6)  鐢ㄦ椂 1.51s (score=-26 depth=5)
[ 25] 绾?b5a6 (4, 1)->(3, 0) 鍚?b棣?鐢ㄦ椂 1.35s (score=99 depth=6)
[ 26] 榛?c1a2 (1, 6)->(2, 8)  鐢ㄦ椂 1.29s (score=14 depth=6)
[ 27] 绾?a6b7 (3, 0)->(2, 1)  鐢ㄦ椂 1.23s (score=26 depth=6)
[ 28] 榛?a2b0 (2, 8)->(0, 7) 鍚?r鐐?鐢ㄦ椂 1.31s (score=167 depth=6)
[ 29] 绾?i9h9 (0, 8)->(0, 7) 鍚?b棣?鐢ㄦ椂 1.54s (score=94 depth=6)
[ 30] 榛?e4h4 (4, 4)->(4, 1)  鐢ㄦ椂 1.28s (score=-4 depth=6)
[ 31] 绾?b7c8 (2, 1)->(1, 2)  鐢ㄦ椂 1.44s (score=-10 depth=6)
[ 32] 榛?h4e4 (4, 1)->(4, 4)  鐢ㄦ椂 0.76s (score=4 depth=6)
[ 33] 绾?g0i2 (9, 6)->(7, 8) 缈诲紑=鍏?鐢ㄦ椂 1.28s (score=41 depth=7)
[ 34] 榛?h3i2 (3, 1)->(2, 0)  鐢ㄦ椂 1.33s (score=0 depth=6)
[ 35] 绾?c4f4 (5, 2)->(5, 5)  鐢ㄦ椂 0.85s (score=35 depth=6)
[ 36] 榛?e4g4 (4, 4)->(4, 2)  鐢ㄦ椂 0.72s (score=-1 depth=5)
[ 37] 绾?f4f9 (5, 5)->(0, 5)  鐢ㄦ椂 1.52s (score=39 depth=6)
[ 38] 榛?e0d0 (0, 4)->(0, 5) 鍚?r杌?鐢ㄦ椂 1.25s (score=336 depth=8)
